Company name Latin alphabet,NACE Rev. 2 main section,NACE_Section,Founded_Year,Company_Age,Status,Number of employees 2024,Number of employees 2023,Number of employees 2022,Number of employees 2021,Number of employees 2020,Number of employees 2019,Emp_Growth,max_employees,Scaler 2024,Scaler 2023,Gazelle 2024,Gazelle 2023,HighGrowthFirm 2024,aagr 2024,Legal_Form,B2B_or_B2C,Industry,Company_Description,Key_Activities,Scaler_2024,Gazelle_2024
WOLPMANN GEBAEUDESICHERHEIT GMBH & CO. KG,F - Construction,F,1983,41,Active,65,65.0,65.0,65,65.0,,,65.0,0,0.0,0.0,0.0,0,0.0,GmbH & Co. KG,B2B,Gebäudesicherheit / Brandschutz- und Sicherheitstechnik / Baubranche,"Expert for fire protection (Brandschutz) and security technology in building safety based in Bremen, Germany, serving a wide range of clients.","Fire alarm systems, fire extinguishers, fire detection systems, access control, lighting, ventilation and building maintenance services.",0,0
EKO/ILS LOGISTICS GMBH,"M - Professional, scientific and technical activities",M,1982,42,Active,50,50.0,50.0,50,,,,50.0,0,,0.0,,0,0.0,Other,Not found,Logistics Services,"EKOILS Logistics GmbH is a German logistics service provider based in Bremen-Aumund, Germany, founded in 1982.","Technical documentation, logistics engineering, support for naval projects, and related project execution and services.",0,0
IBS INSTITUT FUER BERUFS- UND SOZIALPAEDAGOGIK GGMBH,P - Education,P,1983,41,Active,114,104.0,84.0,79,69.0,56.0,1.0357142857142858,114.0,1,1.0,0.0,0.0,0,13.00368000868246,GmbH,Not found,Education / Further Education,"IBS Institut für Berufs- und Sozialpädagogik gGmbH is an independent education provider in Bremen, known for its proximity to practice and the labor market.","Professional training (Berufsschule), further education and advanced training in elderly care, childcare, and social pedagogy at sites including Bremen, Langwedel and Osterholz-Scharmbeck.",1,0
MATTHAEI BAUUNTERNEHMEN GMBH & CO. KG,F - Construction,F,1983,41,Active,215,208.0,200.0,167,165.0,,,215.0,0,0.0,0.0,0.0,0,8.78624747610246,GmbH & Co. KG,B2B,Engineering & Construction,"MATTHAEI BAUUNTERNEHMEN GMBH & CO. KG provides construction services, including infrastructure and building construction, and building materials.","The company's services include constructing roads, highways, bridges, airports, commercial buildings, tracks and water dams, as well as highway, street, and bridge construction, and other specialty trade contractors.",0,0
TRAFIK BREMEN TRANSPORTGERAETE HANDELSGESELLSCHAFT MBH,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,G,1975,49,Active,28,26.0,28.0,32,29.0,29.0,-0.034482758620689655,34.0,0,0.0,0.0,0.0,0,-4.353440861380542,GmbH,Both,Wholesale of other machinery and equipment (4669),"TRAFIK Bremen is a large manufacturer-independent wholesaler of used forklifts and warehouse handling equipment in Bremen, Germany.","Wholesale of used forklifts (electric, diesel, LPG) and warehouse handling equipment, also offering equipment for immediate purchase and worldwide delivery.",0,0
EMIGHOLZ GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,G,1981,43,Active,180,178.0,170.0,172,172.0,177.0,0.01694915254237288,185.0,0,0.0,0.0,0.0,0,1.52695306617352,Other,Not found,Retail trade of motor vehicle parts and accessories,"Emigholz GmbH operates as an automotive parts and services provider based in Bremen, Germany, and has been in operation since 1981.","The company provides tires, wheels, and car maintenance services, operates a tire retail chain and related services, runs car repair shops, and trades in car parts.",0,0
ATLANTIK HAFENBETRIEBE GEUTHER & SCHNITGER GMBH & CO. KG,H - Transportation and storage,H,1976,48,Active,180,180.0,180.0,180,180.0,,,180.0,0,0.0,0.0,0.0,0,0.0,GmbH & Co. KG,B2B,port handling,"ATLANTIK Hafenbetriebe Geuther & Schnitger GmbH & Co. KG is a company based in Bremen, Germany, operating in the port handling sector.","port handling partner to industry, haulage and shipping, Be- und Entladung von Schiffen, Schwergutumschlag, Stuffing und Stripping von Containern und Rolltrailern sowie fachgerechte Sicherung von High & Heavy",0,0
HEINRICH LANGHORST GMBH & CO. KG,H - Transportation and storage,H,1984,40,Active,33,36.0,38.0,36,48.0,54.0,-0.3888888888888889,54.0,0,0.0,0.0,0.0,0,-2.858721945809062,KG,Not found,Logistics,Heinrich Langhorst GmbH & Co. KG is a modern logistics company with a focus on container logistics and warehousing.,"Freight forwarding, container logistics, warehousing",0,0
DR. SCHACKOW & PARTNER RECHTSANWAELTE PARTG MBB,"M - Professional, scientific and technical activities",M,1984,40,Active,100,100.0,100.0,100,,,,100.0,0,,0.0,,0,0.0,Other,B2B,Law,"Dr. Schackow & Partner Rechtsanwälte PartG mbB is a law firm based in Bremen, Germany, offering a comprehensive range of commercial legal services.","The firm provides legal services in areas such as commercial and company law, maritime law, and dispute resolution.",0,0
JHG GRUNDSTUECKSVERWALTUNG GMBH,L - Real estate activities,L,1981,43,Active,10,10.0,10.0,12,,,,12.0,0,,0.0,,0,-5.896397111897144,GmbH,B2B,Real Estate,"JHG Grundstücksverwaltung GmbH is a Real Estate, Commercial & Residential Construction, and Construction company located in Bremen, Bremen with 12 employees.","The mediation of real estate transactions of all kinds, the property rental and management, the brokerage of financing, insurance and capital investments.",0,0
BT ARCHITEKTEN + INGENIEURE GMBH,"M - Professional, scientific and technical activities",M,1982,42,Active,9,11.0,13.0,14,13.0,9.0,0.0,14.0,0,0.0,0.0,0.0,0,-13.69456260028179,GmbH,B2B,"Architects, engineers",BT Architekten + Ingenieure GmbH provides architectural and engineering planning services for buildings and technical facilities and has been active since 1982.,"Architectural and engineering planning services for buildings and technical facilities; experts in architects, engineers, and general planner services; supplies building contractors and general building contractors.",0,0
"""STUDIO-S"" SEEKAMP GMBH & CO. KG","M - Professional, scientific and technical activities",M,1970,54,Active,2,15.0,31.0,36,36.0,54.0,-0.9629629629629629,54.0,0,0.0,0.0,0.0,0,-61.8428585815556,GmbH & Co. KG,B2B,Not found,"The company is a photography studio offering services such as freelance photography for advertising campaigns, sales promotions, fashion photography, and more.","Freelance photography for advertising campaigns and sales promotions, fashion photography in the studio and on location, advertising photography for catalogs and image brochures, food photography, still life, interiors, table tops",0,0
MARTINSCLUB BREMEN E. V.,Q - Human health and social work activities,Q,1973,51,Active,1200,1200.0,1000.0,1000,1000.0,,,1200.0,0,0.0,0.0,0.0,0,6.265856918261115,Other,Both,Behindertenhilfe,Martinsclub Bremen is a provider of support for people with disabilities in Bremen and one of the largest carriers of disability assistance in the region.,"Education, leisure, living, school, counseling, and qualification for people with disabilities.",0,0
BUERGERHAUS OSLEBSHAUSEN E.V.,S - Other service activities,S,1977,47,Active,40,40.0,40.0,40,8.0,8.0,4.0,40.0,0,,0.0,,0,0.0,e.V.,B2C,Other amusement and recreation activities,"Bürgerhaus Oslebshausen e.V. is a socio-cultural center in Bremen's west, serving as a lively meeting point for people of different origins, generations, and interests.","The organization offers various cultural and recreational activities, including events, workshops, and community programs.",0,0
METALLBAU MEYER GMBH & CO. KG,L - Real estate activities,L,1972,52,Active,1,16.0,16.0,15,15.0,,,16.0,0,0.0,0.0,0.0,0,-59.45198669617733,GmbH & Co. KG,Both,Verarbeitendes Gewerbe / Schlosserei,"Metallbau Meyer GmbH & Co. KG is a metalworking and fabrication company located in Bremen, Germany.","Stahlbau for private and commercial use, industrial fences and gate systems, privacy and decorative fences, forge (Schlosserei) services.",0,0
JUSTUS WOHLTMANN OHG,L - Real estate activities,L,1984,40,Active,12,12.0,12.0,12,,,,12.0,0,,0.0,,0,0.0,Other,B2B,Real Estate,"Der Name Justus Wohltmann steht seit 1969 für eine individuelle und zielführende Beratung. Schwerpunkte der Firma bilden heute die Vermarktung, Verwaltung und Bewertung von Grundbesitz sowie die Begleitung von Projektentwicklungen.","Vermarktung, Verwaltung und Bewertung von Grundbesitz sowie die Begleitung von Projektentwicklungen",0,0
W. KRUSE GMBH,N - Administrative and support service activities,N,1981,43,Active,169,165.0,174.0,174,175.0,181.0,-0.06629834254143646,183.0,0,0.0,0.0,0.0,0,-0.9671785926933851,GmbH,B2B,8121 - General cleaning of buildings (NACE Rev.2),"W. Kruse GmbH is a company based in Bremen, Germany, providing building services and cleaning work.","The company offers building services and cleaning work in and on buildings, including general cleaning of buildings and other building and industrial cleaning activities.",0,0
PLANUNGSGRUPPE GRUEN GMBH,"M - Professional, scientific and technical activities",M,1972,52,Active,60,60.0,60.0,46,,,,60.0,0,,0.0,,0,9.260824362327934,GmbH,Not found,Freiraumplanung und Umweltplanung,Planungsgruppe Grün GmbH is an interdisciplinary planning office active in open space planning and environmental planning.,Freiraumplanung und Umweltplanung.,0,0
ALFRED MESSNER GABELSTAPLER GMBH,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,G,1984,40,Active,30,29.0,29.0,29,29.0,,,30.0,0,0.0,0.0,0.0,0,1.136460926688998,Other,Not found,"Machinery, Equipment, and Supplies Merchant Wholesalers",The sale of new forklifts as well as the execution of all business and legal actions that are suitable for the promotion of this purpose.,"Offers used lift trucks, lift truck rentals and leasing, and forklift repair services.",0,0
DHG DACHBAUSTOFF-HANDELS-GESELLSCHAFT MBH,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,G,1978,46,Active,25,25.0,25.0,25,25.0,,,25.0,0,0.0,0.0,0.0,0,0.0,GmbH,B2B,building materials,DHG Dachbaustoff-Handels-Gesellschaft mbH is a medium-sized family company offering professional roof quality at locations in Bremen and Osnabrück and serves as a partner for roofers.,"Wholesale and retail distribution of roof covering and building materials for roofers, including a full range of roof and roof-related products.",0,0
KURZKE GMBH U. CO. MALEREIBETRIEB KG,F - Construction,F,1972,52,Active,15,15.0,19.0,19,19.0,21.0,-0.2857142857142857,21.0,0,0.0,0.0,0.0,0,-7.577179188459704,GmbH & Co. KG,B2B,Floor and wall covering,"KURZKE GmbH U. CO. MALEREIBETRIEB KG is a company based in Bremen, Germany, operating in the malereibetrieb industry.","Malerarbeiten, Fassadenanstrich, Wärmeverbundsysteme, Fußbodenverbundsysteme, Innen- und Außenanstriche, Tapezierarbeiten, dekorative Techniken, Lackierarbeiten für Möbel, Türen und Fenster",0,0
NUFA NUTZFAHRZEUG-CENTER SCHMIDT + KOCH GMBH,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,G,1979,45,Active,31,31.0,31.0,31,31.0,,,31.0,0,0.0,0.0,0.0,0,0.0,GmbH,Both,Automotive,"NUFA Nutzfahrzeug-Center Schmidt & Koch GmbH is a Volkswagen Nutzfahrzeug dealer and service provider based in Bremen, Germany, part of the Schmidt & Koch vehicle dealership group.",Not found,0,0
ELKO SICHERHEIT GMBH & CO. KG,N - Administrative and support service activities,N,1984,40,Active,842,842.0,854.0,854,,,,854.0,0,,0.0,,0,-0.4705951994274149,GmbH & Co. KG,B2B,Sicherheit,Die elko Unternehmensgruppe ist Full-Service-Dienstleister rund um Sicherheit und Technik sowie Gebäude- und Veranstaltungsmanagement,"Sicherheit, Technik, Gebäude- und Veranstaltungsmanagement",0,0
HANS-GEORG SIEBRECHT MALEREIBETRIEB GMBH,F - Construction,F,1976,48,Active,80,90.0,91.0,86,96.0,180.0,-0.5555555555555556,180.0,0,0.0,0.0,0.0,0,-2.381863710460552,GmbH,B2B,"Special trade contractors, nec",One of the largest painting operations in Northern Germany with 160 employees.,"Painting and decorating, facade design, thermal insulation, concrete renovation, floor coverings and suspended ceilings",0,0
ALTEN- UND PFLEGEHEIM SONNENHUEGEL GMBH,Q - Human health and social work activities,Q,1977,47,In liquidation,1,25.0,25.0,23,23.0,22.0,-0.9545454545454546,25.0,0,0.0,0.0,0.0,0,-64.83661130830407,,,,,,0,0
BREMER AUFBAU-BANK GMBH,K - Financial and insurance activities,K,1980,44,Active,138,134.0,119.0,106,78.0,,,138.0,0,1.0,0.0,0.0,0,9.192063598816237,GmbH,Not found,Development bank (Förderbank),"Bremer Aufbau-Bank GmbH is a development bank of the German state of Bremen, focusing on supporting economic development and innovation in the region.","Financing small and medium-sized companies, supporting business start-ups, promoting innovation, and fostering sustainable economic development.",0,0
DEUTSCHE FACTORING BANK GMBH & CO. KG,K - Financial and insurance activities,K,1970,54,Active,315,297.0,284.0,259,235.0,,,315.0,0,0.0,0.0,0.0,0,6.742391798827341,GmbH & Co. KG,B2B,"Other financial service activities, except insurance and pension funding n.e.c. (6499)","Deutsche Factoring Bank provides financial, consulting, banking, credit, liquidity, and mitigation services.","factoring solutions, receivables management, financing, wealth management, money transfer",0,0
ZCR GMBH,F - Construction,F,1982,42,Active,145,145.0,145.0,145,145.0,,,145.0,0,0.0,0.0,0.0,0,0.0,GmbH,B2B,Feuerfestbau (chimney and refractory construction) / industrial decarbonisation,"ZCR GmbH (formerly Züblin Chimney and Refractory GmbH) is a German company specialised in industrial decarbonisation, based in Bremen, focused on chimney and refractory construction.","Project planning, new construction, conversion, renovation and demolition of chimneys and refractory linings; industrial insulation of heat-intensive facilities; fireproof linings for combined heat and power plants.",0,0
WITTHUS GLASDECOR GERALD WITTHUS E.K.,F - Construction,F,1979,45,Active,12,20.0,20.0,20,20.0,,,20.0,0,0.0,0.0,0.0,0,-15.65673346982508,Other,Not found,Betreiber einer Glaserei; Glas- und Bauelemente; (C23),"The company is a registered merchant (eingetragener Kaufmann) operating a glassworks, focused on the processing, trade, and mounting of glass products and building components.","Processing, trade, and mounting of glass products and building components",0,0
HANSEATISCHE WOHNUNGS-BETEILIGUNGS-GESELLSCHAFT MBH,"M - Professional, scientific and technical activities",M,1987,37,Active,533,536.0,533.0,520,504.0,499.0,0.06813627254509018,536.0,0,0.0,0.0,0.0,0,0.8264837609052167,GmbH,B2B,Real Estate,Hanseatische Wohnungs-Beteiligungs-Gesellschaft mbH was founded in 1987.,"The Company's line of business includes renting, buying, selling, and appraising real estate.",0,0
BUHLMANN ROHR-FITTINGS-STAHLHANDEL GMBH + CO. KG.,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,G,1987,37,Active,398,393.0,400.0,397,402.0,407.0,-0.022113022113022112,407.0,0,0.0,0.0,0.0,0,0.08389265679544788,GmbH,Not found,"Premium distributor of steel pipes and tubes, pipe-fittings, valves and accessories","A member of the BUHLMANN Group that specializes in steel pipes, pipe fittings, and accessories trade.","Buhlmann Tubes, Fittings and Flanges are used for Steam Boilers, Chemical Plant Construction and Oil and Gas Industry. The BUHLMANN Group is a premium distributor of steel pipes and tubes, pipe-fittings, valves and accessories.",0,0
ENERGIEKONTOR AG,"D - Electricity, gas, steam and air conditioning supply",D,1990,34,Active,259,228.0,188.0,178,165.0,160.0,0.61875,259.0,1,1.0,0.0,0.0,0,13.31652658690525,AG,B2B,Production of electricity,Energiekontor AG is a German company specialized in the development and management of wind farms and solar parks.,"Project development and sales (wind, solar), planning, financing, construction, repowering, and selling of wind and solar parks.",1,0
HUMANA GMBH,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,G,1990,34,Active,11,14.0,18.0,30,36.0,65.0,-0.8307692307692308,66.0,0,0.0,0.0,0.0,0,-28.42569436603529,GmbH,B2B,Not found,"Humana GmbH is a company based in Bremen, Germany, that produces and distributes infant, baby, child, and dietary food under the brand name HUMANA.","The production and distribution of infant, baby, child and dietary food, preferably under the brand name HUMANA.",0,0
HANSA MEYER GLOBAL HOLDING GMBH,K - Financial and insurance activities,K,1986,38,Active,225,213.0,154.0,210,255.0,250.0,-0.1,255.0,0,0.0,0.0,0.0,0,2.326410809381319,GmbH,B2B,Other Support Activities for Transportation,"Hansa Meyer Global Holding GmbH is a logistics services provider specializing in integrated global transportation solutions, focusing on capital goods in the industrial and energy sectors.","Integrated global transport of capital goods, complex industrial plants, oversized and heavyweight shipments, heavy hauling and rigging, air freight, waterways and inland shipping, road and rail, and related project logistics.",0,0
CTS SPEDITION GMBH,H - Transportation and storage,H,1986,38,Active,898,483.0,482.0,452,399.0,404.0,1.2227722772277227,898.0,1,0.0,0.0,0.0,1,25.7127424209689,GmbH,Not found,Spedition,CTS Spedition GmbH is a Limited Liability Company (GmbH) based in Bremen that mediates and carries out transport operations.,"Carrying out and mediating transport operations, particularly of containers.",1,0
GRAPHIC PACKAGING INTERNATIONAL BREMEN GMBH,C - Manufacturing,C,1990,34,Active,5,109.0,122.0,114,112.0,101.0,-0.9504950495049505,122.0,0,0.0,0.0,0.0,0,-64.7340935600251,GmbH,Both,Paper and board industry,"Graphic Packaging International Bremen GmbH develops, manufactures, equips, and distributes products and sub-products of the paper and board industry.","Paper and board products and other packaging solutions, including folding cartons, cups, and foodservice packaging.",0,0
REDSTONE GMBH & CO. KG,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,G,1990,34,Active,31,30.0,30.0,25,23.0,,,31.0,0,0.0,0.0,0.0,0,7.433707098896636,GmbH & Co. KG,B2B,Construction materials and construction chemicals trading and all related businesses,redstone GmbH & Co. KG is a reliable partner to the building trade and innovative manufacturers in Germany.,"Based in Haferwende 1, 28357 Bremen, Germany, the company provides products and services for the construction industry.",0,0
JOHANNITERHAUS BREMEN GEMEINNUETZIGE GMBH,Q - Human health and social work activities,Q,1990,34,Active,123,125.0,130.0,136,133.0,129.0,-0.046511627906976744,136.0,0,0.0,0.0,0.0,0,-3.293558913641226,GmbH,Not found,Seniorenhäuser,"Johanniterhaus Bremen gGmbH ist eine der großen Trägergesellschaften im Bereich der Altenpflege, die ein Seniorenheim in Bremen betreibt.",Seniorenpflege und Wohnen; Hospiz,0,0
WAESCHEREI MAX STICH GMBH,S - Other service activities,S,1988,36,Active,96,93.0,93.0,85,95.0,111.0,-0.13513513513513514,117.0,0,0.0,0.0,0.0,0,4.139967013227519,GmbH,B2B,Textiles,"Wäscherei Max Stich GmbH provides textile rental and laundry services for hotels and other businesses. The company supplies and maintains bed linen, and offers laundry services for professional clothing, floor protection mats, and mattress protection.","textile rental and laundry services, bed linen supply and maintenance, laundry services for professional clothing, floor protection mats, and mattress protection",0,0
NATCO GMBH INTERNATIONALE SPEDITION,H - Transportation and storage,H,1990,34,Active,5,5.0,8.0,10,12.0,10.0,-0.5,14.0,0,0.0,0.0,0.0,0,-20.62994740159002,GmbH,Not found,Freight forwarding,"NATCO GmbH Internationale Spedition is a logistics company based in Bremen, Germany. It provides forwarding and shipping services, including domestic, foreign, and seaport forwarding, according to its registry records.","Freight forwarding and shipping transactions, including domestic, foreign, and seaport forwarding",0,0
REISKY & SCHLESE E.K.,C - Manufacturing,C,1990,34,Active,23,23.0,25.0,25,,,,25.0,0,,0.0,,0,-2.741117378114399,Other,B2B,Textile machinery,"Reisky & Schlese e.K. is a company based in Bremen, Germany, serving the worldwide textile market with machines for the production of nonwovens and yarn products.",The company specializes in machines for the production of nonwovens and yarn products.,0,0
GREENLAND SEAFOOD EUROPE GMBH,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,G,1988,36,Active,35,35.0,35.0,33,27.0,27.0,0.2962962962962963,35.0,0,0.0,0.0,0.0,0,1.9807108406801,GmbH,B2B,"Wholesale of fish, crustaceans and molluscs","Greenland Seafood Europe GmbH is one of the largest producers of fish products in Europe, employing around 600 staff.","The company specializes in fish processing and produces a variety of fish products including fish sticks, gourmet fillets, portion fillets, and raw materials. Its corporate purpose is the operation of a fully commercial trade directed to the import and trade of fish and shellfish products.",0,0
JACOBS DOUWE EGBERTS DE GMBH,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,G,1989,35,Active,1535,1535.0,1535.0,1535,1537.0,,,1537.0,0,0.0,0.0,0.0,0,0.0,GmbH,Both,consumer goods,"JACOBS DOUWE EGBERTS DE GMBH is a corporation registered in Bremen, Germany, with an HRB 30464 license.","Manufacture, marketing, sale and distribution of consumer goods and branded goods, in particular food and dietary supplements, coffee.",0,0
TUI 4 U GMBH,N - Administrative and support service activities,N,1988,36,Active,150,150.0,150.0,190,,,,190.0,0,,0.0,,0,-7.577179188459704,Other,Not found,hospitality,"TUI 4U GmbH is a company headquartered in Bremen, Germany, that provides travel agency services and operates a travel booking facility.","TUI 4U provides travel agency services, booking facilities, flight database management, and call center services.",0,0
NEVARIS BAUSOFTWARE GMBH,J - Information and communication,J,1986,38,Active,200,200.0,200.0,200,120.0,,,200.0,0,1.0,0.0,0.0,0,0.0,GmbH,B2B,Technology,"Nevaris Baustoftware GmbH is a software company headquartered in Bremen, Germany that provides integrated software solutions for the construction industry.","Construction management, design, and real estate software solutions; ERP, controlling, finance, tenders, quotations, time recording, defect reports, and AVA/BIM systems tailored for construction companies.",0,0
"KLAUS SCHLENKER HAUS-, GEBAEUDE- UND INDUSTRIETECHNIK HANDELSGESELLSCHAFT MBH",G - Wholesale and retail trade; repair of motor vehicles and motorcycles,G,1990,34,Active,29,34.0,31.0,31,12.0,25.0,0.16,34.0,0,1.0,0.0,0.0,0,-2.198518242383984,GmbH,Not found,Handel (Einzel- und Großhandel),"Klaus Schlenker Haus-, Gebäude- und Industrietechnik Handelsgesellschaft mbH is a trading company located in Bremen/Stuhr.","Trading in house, building and industrial technology products.",0,0
SUHREN GMBH,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,G,1986,38,Active,37,30.0,29.0,32,28.0,23.0,0.6086956521739131,37.0,0,0.0,0.0,0.0,0,4.958411345210201,GmbH,Both,Dienstleistung für Dokumentenmanagement (Document management services),"Suhren GmbH is a service company headquartered in Bremen, Germany. It is active in the field of document management and digital workflows, serving as a partner for document management solutions and digital workflows.","Document management and digital workflows, digital copy solutions, office related document handling.",0,0
MAEDCHENHAUS BREMEN GGMBH,Q - Human health and social work activities,Q,1989,35,Active,88,82.0,77.0,76,,,,88.0,0,,0.0,,0,5.008154675569521,GmbH,B2C,Not found,"Mädchenhaus Bremen gGmbH is a counselling centre for girls* in Bremen between 11 and 26 years for all topics, questions and problems.","The counselling centre offers advice, education and a versatile leisure programme for girls. It provides support for girls and young women on various topics, including psychological first aid, trauma counselling, and information on criminal charges.",0,0
BPW STADTPLANUNG BAUMGART LEMKE SCHLEGELMILCH PARTNERSCHAFTSGESELLSCHAFT MBB,"M - Professional, scientific and technical activities",M,1989,35,Active,20,19.0,18.0,17,,,,20.0,0,,0.0,,0,5.566719197800074,Other,Not found,Architect,"BPW Stadtplanung Baumgart Lemke Schlegelmilch Partnerschaftsgesellschaft mbB is an office for urban planning and development planning in Bremen, Germany.","Planning and development of regions, cities, neighborhoods, and construction projects; urban design and development consulting.",0,0
KINDERGRUPPEN-ELTERNGRUPPEN-FOERDERINITIATIVE E.V. (KEFI),P - Education,P,1987,37,Active,35,35.0,35.0,25,25.0,,,35.0,1,1.0,0.0,0.0,0,11.86889420813968,e.V.,Not found,Not found,KEFI e.V. is a parent association in Bremen-Lesum that supports around 120 children on their way to independent and self-confident personalities.,"Support for children in their development, parent association activities",1,0
BECHTLE GMBH,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,G,1990,34,Active,174,178.0,135.0,121,113.0,,,178.0,1,1.0,0.0,0.0,0,12.87245192720523,GmbH,B2B,IT service providers,Bechtle GmbH is a multinational technology company with a business model combining information technology services with the direct sale of hardware and software.,"IT solutions, client management, server and storage, IT security",1,0
ROSENBERG NORD GMBH,C - Manufacturing,C,1985,39,Active,18,21.0,22.0,20,20.0,21.0,-0.14285714285714285,22.0,0,0.0,0.0,0.0,0,-3.451061539437028,GmbH,B2B,Wholesale trade,"The development, manufacture and distribution as well as the trade of building services products of all kinds and their components as well as heat recovery","building services products, heat recovery systems",0,0
HINRICH WOLTERS GMBH,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,G,1985,39,Active,100,100.0,100.0,100,100.0,106.0,-0.05660377358490566,106.0,0,0.0,0.0,0.0,0,0.0,GmbH,B2B,Wholesale of tobacco products (4635),Hinrich Wolters GmbH operates as a tobacco company.,"The trade in tobacco products and other goods of all kinds, the installation of vending machines. Wholesale distribution of cigarettes, cigars, rolling paper, filters, lighters, ashtrays, prepaid cards, gift vouchers, and smoking accessories.",0,0
BREMIS GMBH,N - Administrative and support service activities,N,1986,38,Active,13,15.0,16.0,15,16.0,17.0,-0.23529411764705882,17.0,0,0.0,0.0,0.0,0,-4.658049800559006,GmbH,Not found,Immobilien Service,Bremis GmbH is a professional real estate service provider offering property management and related services in Bremen and surrounding areas.,"Property management, building services, property rental and sales",0,0
LUERSSEN LOGISTICS GMBH & CO. KOMMANDITGESELLSCHAFT,S - Other service activities,S,1986,38,Active,37,37.0,37.0,37,40.0,,,40.0,0,0.0,0.0,0.0,0,0.0,KG,B2B,Shipbuilding,"Lürssen Logistics GmbH & Co. KG is a logistics and support activities company headquartered in Bremen, Germany, that operates as part of the Lürssen group.",Support activities for water transportation and logistics services.,0,0
EKB CONTAINER LOGISTIK GMBH & CO. KOMMANDITGESELLSCHAFT,H - Transportation and storage,H,1987,37,Active,170,180.0,222.0,215,180.0,,,222.0,0,0.0,0.0,0.0,0,-7.529440119634101,Other,B2B,Logistik,EKB Container Logistik specializes in international container transport and all related logistics services and has its head office in Bremen.,"Special and dangerous goods transport services, IT services, and container logistics services.",0,0
MULTIPLEX GMBH MODERNE KUNSTSTOFFVERARBEITUNG,C - Manufacturing,C,1986,38,Active,17,20.0,22.0,19,23.0,26.0,-0.34615384615384615,26.0,0,0.0,0.0,0.0,0,-3.63963416490265,GmbH,B2B,Composite Products,"Multiplex GmbH Moderne Kunststoffverarbeitung, based in Bremen, Germany, develops and manufactures composite components according to technical specifications.","Multiplex quick-lock system, multiroller premium, and other composite solutions for yachts.",0,0
WESER REISEBUERO GMBH,N - Administrative and support service activities,N,1986,38,Active,10,10.0,10.0,11,11.0,11.0,-0.09090909090909091,13.0,0,0.0,0.0,0.0,0,-3.127069384853576,GmbH,Both,Travel agency,"Weser Reisebüro GmbH is a travel agency based in Bremen, Germany, offering vacation and business travel services.",Vacation planning and business travel services; travel agency services,0,0
RAUMPLUS BESITZ- UND ENTWICKLUNGS-GMBH & CO. KG,"M - Professional, scientific and technical activities",M,1986,38,Active,25,24.0,25.0,26,26.0,29.0,-0.13793103448275862,29.0,0,0.0,0.0,0.0,0,-1.298848312571443,GmbH & Co. KG,B2B,Wholesale of other intermediate products,"raumplus is a manufacturer of custom-made sliding doors, room dividers and wardrobe systems. As a company located in Bremen, we can flexibly manufacture everything from single pieces to large quantities.","custom-made sliding doors, room dividers and wardrobe systems, shelving, highboards and sideboards",0,0
CUP TOURISTIC GMBH,N - Administrative and support service activities,N,1986,38,Active,15,15.0,10.0,10,15.0,15.0,0.0,15.0,1,0.0,0.0,0.0,0,14.47142425533319,GmbH,Not found,Hotels (ohne Hotels garnis),"CUP Touristic GmbH is a tour operator and travel organizer based in Bremen, Germany.","Organization and conduct of tours of all kinds on own or third-party account, as well as accommodation brokerage in Germany and abroad; offering wellness and cure stays with door-to-door pick-ups; reading trips in cooperation with newspapers for destinations including Bad Kissingen, Bad Wildungen, Marienbad, Franzensbad and Joachimsthal.",1,0
FRENZEL REISEN KG,H - Transportation and storage,H,1985,39,Active,59,59.0,59.0,48,,,,59.0,0,,0.0,,0,7.119924545175316,KG,Not found,Tourist coach services,Frenzel-Reisen KG is a German bus travel and tourist coach service provider based in Bremen.,"Tourist coach services, bus travel services, radial trips tours.",0,0
CLASSIC CARS EXCLUSIVE AUTOMOBILE GMBH,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,G,1985,39,Active,12,8.0,9.0,10,9.0,9.0,0.3333333333333333,12.0,0,,0.0,,0,6.265856918261115,GmbH,B2C,Sale of cars and light motor vehicles,Classic Cars Exclusive Automobile GmbH operates within the Sale of cars and light motor vehicles industry.,"The company sells new and used US vehicles, offers workshop services, and has been in business for over 35 years.",0,0
